playlist_id,playlist_name,description,tracks_count,uri
37i9dQZF1DXcBWIGoYBM5M,Today’s Top Hits,Jack Harlow is on top of the Hottest 50!,50,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,"Music from Drake, Jack Harlow and Gucci Mane. ",50,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
37i9dQZF1DX4dyzvuaRJ0n,mint,The world's biggest dance hits. Cover: Argy,75,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
37i9dQZF1DXcF6B6QPhFDv,Rock This,Bring Me The Horizon along with today's Rock songs you need to know.,50,spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
37i9dQZF1DX4SBhb3fqCJd,RNB X,Where R&B lives. Cover: Chris Brown,50,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
37i9dQZF1DX10zKzsJ2jva,Viva Latino,"Today's top Latin hits, elevando nuestra música. Cover: Kali Uchis & KAROL G",50,spotify:playlist:37i9dQZF1DX10zKzsJ2jva
37i9dQZF1DX1lVhptIYRda,Hot Country,Today's top country hits. Cover: Megan Moroney,50,spotify:playlist:37i9dQZF1DX1lVhptIYRda
37i9dQZF1DWZMWLrh2UzwC,New Music Friday Malaysia,The best newly released songs of the week. Cover: Alextbh,84,spotify:playlist:37i9dQZF1DWZMWLrh2UzwC
37i9dQZF1DWWjGdmeTyeJ6,Fresh Finds,"The best new music by independent artists and labels. Cover: UCHE YARA. Artwork by Isu Kim.
",111,spotify:playlist:37i9dQZF1DWWjGdmeTyeJ6
37i9dQZF1DX0XUfTFmNBRM,Hot Hits Hindi,Hottest Hindi music served here. Cover - Tiger 3,50,spotify:playlist:37i9dQZF1DX0XUfTFmNBRM
37i9dQZF1DWZNJXX2UeBij,All Out 00's Hindi,Bollywood songs that ruled hearts in the Y2K decade. Cover - Jab We Met,100,spotify:playlist:37i9dQZF1DWZNJXX2UeBij
37i9dQZF1DXdpQPPZq3F7n,Bollywood Mush,Let these songs be the background score to your love story. Cover - Animal,75,spotify:playlist:37i9dQZF1DXdpQPPZq3F7n
37i9dQZF1DX14CbVHtvHRB,Trending Valentine's Hits ,India's Ultimate Love Playlist. Cover- Jawan,75,spotify:playlist:37i9dQZF1DX14CbVHtvHRB
37i9dQZF1DWXtlo6ENS92N,Bollywood Central,"Bollywood Central, jab baje toh seedha dil ke centre mein lage ❤️",50,spotify:playlist:37i9dQZF1DWXtlo6ENS92N
37i9dQZF1DXa6iPZDThhLh,90s Love Hits,Relive the '90s with these beautiful romantic hits. Cover - Dil,100,spotify:playlist:37i9dQZF1DXa6iPZDThhLh
37i9dQZF1DX8xfQRRX1PDm,Bollywood Dance Music,"Party-ready, biggest Bollywood dance tracks of last 10 years. Cover - Satyameva Jayate",75,spotify:playlist:37i9dQZF1DX8xfQRRX1PDm
37i9dQZF1DXd8cOUiye1o2,New Music Hindi,"Dunki's first single is out, and we're have it on loop! Listen now.",75,spotify:playlist:37i9dQZF1DXd8cOUiye1o2
37i9dQZF1DXa2huSXaKVkW,All Out 90s Hindi,"K..K..K..Kiran to T..T..T..Tuffy, the wonderfully unique decade. Cover - Raja",100,spotify:playlist:37i9dQZF1DXa2huSXaKVkW
37i9dQZF1DWVq1SXCH6uFn,00's Love Hits,Fall in love with 00's Bollywood like never before! Cover - Bachna Ae Haseeno,100,spotify:playlist:37i9dQZF1DWVq1SXCH6uFn
37i9dQZF1DWXVJK4aT7pmk,Hot Hits Punjabi,"Catch the hottest Punjabi tracks with Sidhu Moose Wala on the cover for his track ""Watch out""",75,spotify:playlist:37i9dQZF1DWXVJK4aT7pmk
37i9dQZF1DX5cZuAHLNjGz,Punjabi 101,Ultimate 101 Punjabi Hits with Diljit Dosanjh,101,spotify:playlist:37i9dQZF1DX5cZuAHLNjGz
37i9dQZF1DWXkMnNwaapIj,I-Pop Superhits,Biggest hits from your favourite pop stars. Cover- Yo Yo Honey Singh,90,spotify:playlist:37i9dQZF1DWXkMnNwaapIj
37i9dQZF1DWTqYqGLu7kTX,Hip Te Hop,"This is how we do it, This is our style.
Cover: Sidhu Moose Wala",75,spotify:playlist:37i9dQZF1DWTqYqGLu7kTX
37i9dQZF1DX5baCFRgbF3x,New Music Punjabi,Stay updated with all the smashing new Punjabi music! Cover- B Praak,100,spotify:playlist:37i9dQZF1DX5baCFRgbF3x
37i9dQZF1DWSKoG4oVafMt,Punjabi Pyar,The very best of Punjabi romance featuring Jordan Sandhu,76,spotify:playlist:37i9dQZF1DWSKoG4oVafMt
37i9dQZF1DWVDCraF986xg,Punjabi X,Catch all the collaborations and crossovers in Punjabi music. Cover: Guru Randhawa ,50,spotify:playlist:37i9dQZF1DWVDCraF986xg
37i9dQZF1DX9L0PulSSl2E,Chill Karlo,"Sit Back , Unwind Te Thand Rakho! Cover: Avvy Sra, Karan Aujla",50,spotify:playlist:37i9dQZF1DX9L0PulSSl2E
37i9dQZF1DWStljCmevj7t,Punjabi Swag,Wakhre Te Athre Punjabi tracks. Cover: Amrit Maan,100,spotify:playlist:37i9dQZF1DWStljCmevj7t
37i9dQZF1DWWfmbQgZIznF,Sad hours: Punjabi,Caution! Heartbreak zone ahead,50,spotify:playlist:37i9dQZF1DWWfmbQgZIznF
37i9dQZF1DX29AbHCRoac8,Mega Punjabi Hits ,"A mega mix of your Punjabi favorites from the last few years.
",50,spotify:playlist:37i9dQZF1DX29AbHCRoac8
37i9dQZF1DXcQNdt1GHNdg,Punjabi Pump,Pump up your adrenaline with Punjabi hits!,50,spotify:playlist:37i9dQZF1DXcQNdt1GHNdg
37i9dQZF1DX4Im4BTs2WMg,Trending Now Tamil,"Top Trending Tamil Songs on Social Media
Cover : JDX",76,spotify:playlist:37i9dQZF1DX4Im4BTs2WMg
37i9dQZF1DWVo4cdnikh7Z,Latest Tamil,"New Music from Kollywood.
Cover : Captain Miller",80,spotify:playlist:37i9dQZF1DWVo4cdnikh7Z
37i9dQZF1DX1i3hvzHpcQV,Hot Hits Tamil,"Tune into the Hottest tracks of Kollywood!
Cover : Leo",53,spotify:playlist:37i9dQZF1DX1i3hvzHpcQV
37i9dQZF1DX0TyiNWW7uUQ,Kollywood Cream,"Finest collection of Tamil Music from the past 10 years
Cover : LEO",75,spotify:playlist:37i9dQZF1DX0TyiNWW7uUQ
37i9dQZF1DX7vl8XKmpwdM,Latest Dance Tamil,"Dance Machi Dance
Cover : Jigarthanda DoubleX",50,spotify:playlist:37i9dQZF1DX7vl8XKmpwdM
37i9dQZF1DX44F1QWqYoaV,Telugu Love Songs,"The best romantic tracks from Tollywood!
Cover: Sita Ramam",87,spotify:playlist:37i9dQZF1DX44F1QWqYoaV
37i9dQZF1DX6XE7HRLM75P,Hot Hits Telugu,"Tune in to the Hottest Tracks of Tollywood!
Cover : Guntur Kaaram",50,spotify:playlist:37i9dQZF1DX6XE7HRLM75P
37i9dQZF1DX5VOFoIqmrOV,Tollywood Pearls,"The finest set of Telugu music from the past 10 years. 
Cover : Ala Vaikunthapurramuloo",75,spotify:playlist:37i9dQZF1DX5VOFoIqmrOV
37i9dQZF1DWWwrjLPC16W7,Latest Telugu,"New Music from Tollywood!
Cover: Guntur Kaaram",78,spotify:playlist:37i9dQZF1DWWwrjLPC16W7
37i9dQZF1DXcrFZ8UTtxv9,All Out 00's Telugu,"Best of Telugu songs from the 2000's! 
Cover : Pawan Kalyan",100,spotify:playlist:37i9dQZF1DXcrFZ8UTtxv9
37i9dQZF1DWTt3gMo0DLxA,Trending Now Telugu,"Trending songs from Tollywood! 
Cover - MAD",50,spotify:playlist:37i9dQZF1DWTt3gMo0DLxA
37i9dQZF1DWTPYJ30Fuy6L,00's Mass Paatalu,"Telugu 2000's Massss! 
Cover: Shankardada MBBS",100,spotify:playlist:37i9dQZF1DWTPYJ30Fuy6L
37i9dQZF1DWUlxikDc4tqi,Purely Prema,"Superhit Love Songs served here.

Cover : Hit 2",75,spotify:playlist:37i9dQZF1DWUlxikDc4tqi
37i9dQZF1DWTGda3Eyqjzr,00s Love Songs Telugu,"What's a better combination than Nostalgia and Love? The best of both in this playlist! 
Cover: Bommarillu

",75,spotify:playlist:37i9dQZF1DWTGda3Eyqjzr
37i9dQZF1DX3VuB7FVwxmc,Latest Dance Telugu,"Head to the dance floor with these latest tracks.
Cover : Saindhav",50,spotify:playlist:37i9dQZF1DX3VuB7FVwxmc
37i9dQZF1DX2UT3NuRgcHd,Happy Vibes Telugu! ,Destination Happiness,61,spotify:playlist:37i9dQZF1DX2UT3NuRgcHd
37i9dQZF1DX5EbPl0mQHmo,Kiraak Telugu,"The Kiraak-est set of Telugu Music!
Cover: Waltair Veerayya",47,spotify:playlist:37i9dQZF1DX5EbPl0mQHmo
37i9dQZF1DXdMUUSqm9tTc,Feel Good Telugu,For the times you need to. ,50,spotify:playlist:37i9dQZF1DXdMUUSqm9tTc
37i9dQZF1DWWokU1YHhufF,Love Failure Telugu Songs,"Povodhe.. Povodhe.. Prema.. 
Cover: Baby",44,spotify:playlist:37i9dQZF1DWWokU1YHhufF
37i9dQZF1DX1MYRp9oolwH,Latest Romance Telugu,"Bringing out the best of latest love tracks
Cover : Hi Nanna",48,spotify:playlist:37i9dQZF1DX1MYRp9oolwH
37i9dQZF1DWZX7pylMgqGz,Pawan Kalyan Hits ,The best songs of our power star! ,50,spotify:playlist:37i9dQZF1DWZX7pylMgqGz
37i9dQZF1DX26DKvjp0s9M,Essential Indie,The best of the best from oldies to new classics. Cover: Mac DeMarco,100,spotify:playlist:37i9dQZF1DX26DKvjp0s9M
37i9dQZF1DXdTCdwCKzXwo,Early Alternative,These early pioneers brought the underground to the foreground. Cover: Lou Reed. ,75,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo
37i9dQZF1DXcNf6sH1qnKU,Dreampop Classics,"Glimmering, warm, and bright memories: Broadcast on the cover.",50,spotify:playlist:37i9dQZF1DXcNf6sH1qnKU
37i9dQZF1DX9LbdoYID5v7,The 2000s Indie Scene,Music that created modern indie as we know it. Cover: Yeah Yeah Yeahs,75,spotify:playlist:37i9dQZF1DX9LbdoYID5v7
37i9dQZF1DXaLaoaQqrfyO, Indie Pop 2010s,Seminal indie pop tracks from the 2010s. Cover: Blood Orange.,100,spotify:playlist:37i9dQZF1DXaLaoaQqrfyO
37i9dQZF1DX873GaRGUmPl,Alternative 10s,The best alternative songs of the decade. Cover: Glass Animals,80,spotify:playlist:37i9dQZF1DX873GaRGUmPl
37i9dQZF1DX6ujZpAN0v9r,Shoegaze Classics,The essential beautiful noise: sweet and sour fuzz to warm your heart. my bloody valentine on cover,175,spotify:playlist:37i9dQZF1DX6ujZpAN0v9r
37i9dQZF1DX0YKekzl0blG,Alternative 00s,All the indelible tunes from the other side of the 00s. Cover: Santigold,80,spotify:playlist:37i9dQZF1DX0YKekzl0blG
37i9dQZF1DXaLI8a395lse,Alternative 90s,"Britpop, trip-hop, grunge and more from the other side of the 90s. Cover: The Cure",80,spotify:playlist:37i9dQZF1DXaLI8a395lse
37i9dQZF1DX30gKInBBe5k,slowcore,a hardcore home for slowcore fans.,85,spotify:playlist:37i9dQZF1DX30gKInBBe5k
37i9dQZF1DWW06b4n9Ho9J,Best of Indie 2021,Editors' picks of the best indie tracks this year. Cover: Japanese Breakfast,104,spotify:playlist:37i9dQZF1DWW06b4n9Ho9J
37i9dQZF1DWWkGXMGv9j4M,Best of Indie 2020,"Weird year overall, but great for indie. Editors' picks of the best tracks of the year. Cover: Phoebe Bridgers",100,spotify:playlist:37i9dQZF1DWWkGXMGv9j4M
37i9dQZF1DWTc5QDlvD7t0,Ultimate Indie Presents... Best Tracks of 2019,The best indie rock/pop/punk/dance/hip hop/r&b of 2019. Cover: Clairo,50,spotify:playlist:37i9dQZF1DWTc5QDlvD7t0
37i9dQZF1DWULq23fLWDsl,Best of Indie 2010,2010 highlights from the home of indie music. Cover: Gorillaz.,100,spotify:playlist:37i9dQZF1DWULq23fLWDsl
37i9dQZF1DX2Vedp1NjGn9,Best of Indie 2011,2011 highlights from the home of indie music.,100,spotify:playlist:37i9dQZF1DX2Vedp1NjGn9
37i9dQZF1DX3n9iLlurL09,Best of Indie 2012,2012 highlights from the home of indie music.,100,spotify:playlist:37i9dQZF1DX3n9iLlurL09
37i9dQZF1DWWY64wDtewQt,phonk,the beat of your drift,100,spotify:playlist:37i9dQZF1DWWY64wDtewQt
37i9dQZF1DXcH1zkVmOC0e,Endrendrum SPB,Celebrate the Superhits of our own Legend SPB!!,100,spotify:playlist:37i9dQZF1DXcH1zkVmOC0e
37i9dQZF1DWYQhKSOD0Qas,Punjabi Gaming,Pump up your adrenaline with your favorite Punjabi tracks,51,spotify:playlist:37i9dQZF1DWYQhKSOD0Qas
37i9dQZF1DWUBCiFp3lAyi,Grand Theft Auto Radio,Your personalized GTA radio station. ,100,spotify:playlist:37i9dQZF1DWUBCiFp3lAyi
37i9dQZF1DWTyiBJ6yEqeu,Top Gaming Tracks,"Press play, press start.",100,spotify:playlist:37i9dQZF1DWTyiBJ6yEqeu
37i9dQZF1DWYRNXjFoiid2,Ultimate Pop Gaming,Today's best pop to fuel your gaming. Cover: BoyWithUke,100,spotify:playlist:37i9dQZF1DWYRNXjFoiid2
37i9dQZF1DWTAtTdFMiJYK,RADAR India,Most exciting artists from the Indian Indie scene. Cover: Rusha & Blizza,75,spotify:playlist:37i9dQZF1DWTAtTdFMiJYK
37i9dQZF1DX50FeI1zgOSW,RADAR Tamil,"Featuring up-and-coming Tamil artists from the Indie scene
Cover : Sanathan Shree Krishnan",84,spotify:playlist:37i9dQZF1DX50FeI1zgOSW
37i9dQZF1DX9IALXsyt8zk,RADAR Korea,Unearthing up-and-coming Korean acts. Cover: Zior Park,50,spotify:playlist:37i9dQZF1DX9IALXsyt8zk
37i9dQZF1DWTU63finroJM,RADAR Global ,Meet the future. New artists on the horizon.,123,spotify:playlist:37i9dQZF1DWTU63finroJM
37i9dQZF1DX2TlTLxcIo6J,RADAR Songwriters,"From across the globe. New Songwriters on the horizon. Cover: <a href=""https://artists.spotify.com/songwriter/0ZY43VwD4Dvf0ZO9SwivN5"">Valentina Rico</a>",45,spotify:playlist:37i9dQZF1DX2TlTLxcIo6J
37i9dQZF1DWY0DyDKedRYY,RADAR US,"The most exciting new music, featuring RADAR official artist Peso Pluma on the cover.",47,spotify:playlist:37i9dQZF1DWY0DyDKedRYY
37i9dQZF1DWYc8Z858eGwP,RADAR Africa,"The most exciting new artists on the rise from the African continent & diaspora. Cover: <a href=""https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE?si=bWfP8oYHRI6Scnl72IzCZA"">Tyla</a>",70,spotify:playlist:37i9dQZF1DWYc8Z858eGwP
37i9dQZF1DWV7gN1qBoBYg,RADAR Nordics,"Welcome to RADAR: A space for storytelling going beyond the music featuring Yaeger, Sam Ezeh, LOVA, Mina Okabe, Augustine & IVAN$ITO from the Nordics!",60,spotify:playlist:37i9dQZF1DWV7gN1qBoBYg
37i9dQZF1DWSElo6PPUdZk,Equal Punjabi Pop,Catch the queens of Punjabi Pop. Cover: Baani Sandhu,50,spotify:playlist:37i9dQZF1DWSElo6PPUdZk
37i9dQZF1DX6Cy4Vr7Hu2y,EQUAL K-Pop,"From sultry vocalists, sexy divas to cutesy girl-groups, the women of K-Pop are a formidable force to be reckoned with. (Cover: Jessi(제시)) (케이팝을 대표하는 한국의 여성 가수들을 만나보세요!)",64,spotify:playlist:37i9dQZF1DX6Cy4Vr7Hu2y
37i9dQZF1DX5KJJSIYaNvs,EQUAL India,"Listen to Indian women, at full volume. Cover - Lisa Mishra",50,spotify:playlist:37i9dQZF1DX5KJJSIYaNvs
37i9dQZF1DXblYBkrEcpLK,EQUAL Anime,アニメシーンを彩る女性アーティスト達を特集！ Celebrate the great female artists from anime culture. Cover: ヒグチアイ (Ai Higuchi),50,spotify:playlist:37i9dQZF1DXblYBkrEcpLK
37i9dQZF1DWU8quswnFt3c,EQUAL Global,"Listen to women from all over the world, at full volume. Cover: Bellakath",75,spotify:playlist:37i9dQZF1DWU8quswnFt3c
37i9dQZF1DX3qgJkcIjXC2,EQUAL - The Players,Spotify's first ever all-women soccer playlist. Built by your favorite players.,126,spotify:playlist:37i9dQZF1DX3qgJkcIjXC2
37i9dQZF1DX7JO5vzoPTXR,Created by Women,"Songs that are 100% written, produced, and performed by women! Cover: <a href=""https://open.spotify.com/playlist/37i9dQZF1EFxQm5kACHpXo?si=e001f7e7337142b9""> KAMILLE </a>, <a href=""https://open.spotify.com/playlist/37i9dQZF1EFNris1uapuvu?si=fe089bf421104ba1""> Carla Marie </a> & <a href=""https://open.spotify.com/playlist/37i9dQZF1EFymkJOZK4uO1?si=edc3f1f5cb2e4ecc""> Jin Jin </a>",39,spotify:playlist:37i9dQZF1DX7JO5vzoPTXR
37i9dQZF1DX8QB9Ys2nV17,EQUAL Blues,The greatest female voices in blues today. Cover: Amythyst Kiah,55,spotify:playlist:37i9dQZF1DX8QB9Ys2nV17
37i9dQZF1DX7QGYV9jyeOE,EQUAL New Age,Classic and contemporary pioneers of New Age music. Cover: Constance Demby,73,spotify:playlist:37i9dQZF1DX7QGYV9jyeOE
37i9dQZF1DX15TqoV2o7QK,EQUAL India Presents Best Of 2021,The best of EQUAL India 2021. Cover: Asees Kaur and Renuka Panwar,40,spotify:playlist:37i9dQZF1DX15TqoV2o7QK
37i9dQZF1DWWwGws5Po6YO,EQUAL Ambient,The women at the forefront of ambient and experimental music. Cover: Whatever The Weather,100,spotify:playlist:37i9dQZF1DWWwGws5Po6YO
37i9dQZF1DX5hL1aT2vhMb,EQUAL: Classical,Celebrate the great women composers and classical performers who continue to transform the classical world. Cover: Olivia Belli,75,spotify:playlist:37i9dQZF1DX5hL1aT2vhMb
37i9dQZF1DX45grRWk2ghU,Hot Pink,Life in plastic is fantastic ,75,spotify:playlist:37i9dQZF1DX45grRWk2ghU
37i9dQZF1DX0wIBbVnPvie,Barbie Official Playlist,"She's everything. He's just Ken. Listen to the music from and inspired by Barbie, curated by Mark Ronson. ",45,spotify:playlist:37i9dQZF1DX0wIBbVnPvie
37i9dQZF1DX2Ft2Y1RF4jG,Retro Prom,pov: you're wearing a fluffy pink dress in a John Hughes movie,75,spotify:playlist:37i9dQZF1DX2Ft2Y1RF4jG
37i9dQZF1DX0oFpWfPwcGv,Disco Decadence,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",75,spotify:playlist:37i9dQZF1DX0oFpWfPwcGv
37i9dQZF1DXbdNhlZLjJXz,hot girl walk,"leggings, walking pads, water tumblers - that's hot",50,spotify:playlist:37i9dQZF1DXbdNhlZLjJXz
37i9dQZF1DXa90jZU6E5GN,neon cowgirl,make the whole place shimmer ✨,100,spotify:playlist:37i9dQZF1DXa90jZU6E5GN
37i9dQZF1DX1SbnWqcjJBz,Deserved,"Talented, brilliant, incredible, amazing, show-stopping… See also: <a href=""spotify:playlist:37i9dQZF1DX7YE2tQ4q86h"">OBSESSED</a>",100,spotify:playlist:37i9dQZF1DX1SbnWqcjJBz
37i9dQZF1DXbVhgADFy3im,Trending Now India,Every track you're listening/should be listening to ;) Cover- Raanjhan Aaya: Kareena Kapoor,75,spotify:playlist:37i9dQZF1DXbVhgADFy3im
37i9dQZF1DXbYM3nMM0oPk,Mega Hit Mix,A mega mix of 75 favorites from the last few years! ,75,spotify:playlist:37i9dQZF1DXbYM3nMM0oPk
37i9dQZF1DXbQDZkQM83q7,pov: you're in love,"Uff, you've fallen! 💜",60,spotify:playlist:37i9dQZF1DXbQDZkQM83q7
37i9dQZF1DX1dCsSMSXSsP,Pop Shots ,"All your pop favorites!
Cover: The Kid LAROI",50,spotify:playlist:37i9dQZF1DX1dCsSMSXSsP
